text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
It's one of the worst flu seasons and yet just about every @Eagles player kissed that trophy #superbowl #Eagles… https://t.co/JI51OnzxMf,FALSE,0,,2/5/2018 4:57,TRUE,,9.60377E+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BCrazy26,0,FALSE,FALSE,,
Citrus time. <ed><U+00A0><U+00BC><ed><U+00BD><U+008A><ed><U+00A0><U+00BC><ed><U+00BD><U+008B>#home #citrus #fruitbowl #fluseason #workout #cardio #ampworkout #bodybuilding… https://t.co/BCOsKQu1SA,FALSE,3,,2/5/2018 4:56,FALSE,,9.60377E+17,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",catasmom,1,FALSE,FALSE,-77.1083,38.8803
@EaglesInsider #fluseason lol,FALSE,0,EaglesInsider,2/5/2018 4:42,FALSE,9.6037E+17,9.60373E+17,27886437,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Pa_dave78,0,FALSE,FALSE,,
@strombone1 Smart #fluseason,FALSE,0,strombone1,2/5/2018 4:33,FALSE,9.60356E+17,9.60371E+17,328810158,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Grams89,0,FALSE,FALSE,,
@tylerhansen1 #fluseason!,FALSE,0,tylerhansen1,2/5/2018 4:31,FALSE,9.60356E+17,9.6037E+17,280318645,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DBBinTuc,0,FALSE,FALSE,,
#FluSeason #SBLII https://t.co/UBrwUg8NWZ,FALSE,0,,2/5/2018 4:27,FALSE,,9.60369E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rodrigomaycotte,0,FALSE,FALSE,,
@Simmeee @Slick_daboss @dredreezy I think immediately she knew that was a bad idea. #fluseason,FALSE,0,Simmeee,2/5/2018 4:26,FALSE,9.60363E+17,9.60369E+17,30803785,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",J_EaZY104,0,FALSE,FALSE,,
Brady Got Da Hood Sick. Lmao! #FluSeason,FALSE,0,,2/5/2018 4:25,FALSE,,9.60369E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",VBABYMFB,0,FALSE,FALSE,,
"@lancewest Exactly ,  what I said! #Fluseason #Stop",FALSE,1,lancewest,2/5/2018 4:24,FALSE,9.60356E+17,9.60368E+17,44126439,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sweetweet64,0,FALSE,FALSE,,
No new video this week guys! So sorry but i promise i’ll be back this week <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081> #fluseason https://t.co/yBRwIXtzVx,FALSE,0,,2/5/2018 4:20,FALSE,,9.60367E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kylaholloway965,0,FALSE,FALSE,,
All I can think about is how many germs that last guy to kiss the trophy will be getting on his face <ed><U+00A0><U+00BD><ed><U+00B8><U+00B7> #SuperbowlLII #yuck #fluseason,FALSE,3,,2/5/2018 4:19,FALSE,,9.60367E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lfalc1,0,FALSE,FALSE,,
My thoughts EXACTLY!  And some holding their little babies...! #fluseason https://t.co/XtrS6q0N8K,FALSE,1,,2/5/2018 4:19,FALSE,,9.60367E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NeedInsulin,0,FALSE,FALSE,,
I can’t with everyone kissing the Vince Lombardi trophy. #fluseason #fluoutbreak #vincelombarditrophy https://t.co/9e4GarqpV0,FALSE,1,,2/5/2018 4:15,FALSE,,9.60366E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hwildt82,0,FALSE,FALSE,,
Y’all it’s Flu season. <ed><U+00A0><U+00BE><ed><U+00B4><U+00A6><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+200D><U+2640><U+FE0F><ed><U+00A0><U+00BE><ed><U+00B4><U+00A2>  you cant be doin this. <ed><U+00A0><U+00BD><ed><U+00B2><U+008B> <ed><U+00A0><U+00BC><ed><U+00BF><U+0088> <ed><U+00A0><U+00BE><ed><U+00B4><U+00A2><ed><U+00A0><U+00BE><ed><U+00B4><U+00AE>#SuperBowl2018 #superbowlselfie #SuperBowlLll #Flu2018… https://t.co/d8xPi1UJQs,FALSE,0,,2/5/2018 4:14,TRUE,,9.60366E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",normally91,0,FALSE,FALSE,,
"RT @chrisspinelli2: Be careful, it’s #fluseason. #flu #SuperBowlSunday #SuperBowl52 #SuperBowlLll #SuperBowl2018 #NFL #FlyEaglesFly #VinceL…",FALSE,0,,2/5/2018 4:13,FALSE,,9.60366E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",edzix9,1,TRUE,FALSE,,
"Congratulations Philly!! <ed><U+00A0><U+00BD><ed><U+00B2><U+0099>

                         BUT 

Can we talk about how everyone is/was kissing this thing… https://t.co/KL4FIg1bTp",FALSE,0,,2/5/2018 4:13,TRUE,,9.60366E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",IAmChandraD,0,FALSE,FALSE,,
#SuperBowl Miss me with that kissing and shit on the Lombardi trophy! #germs #fluseason #dirtyhands <ed><U+00A0><U+00BD><ed><U+00B8><U+00B7><ed><U+00A0><U+00BE><ed><U+00B4><U+00A7><ed><U+00A0><U+00BE><ed><U+00B4><U+0092><ed><U+00A0><U+00BE><ed><U+00B4><U+00A2>… https://t.co/sW6iPgUGkN,FALSE,0,,2/5/2018 4:11,TRUE,,9.60365E+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Maddimom03,0,FALSE,FALSE,,
The lady holds the superbowl trophy with gloves for most of the 4th quarter....hands it off to Green....everyone to… https://t.co/9ijw8lmGzR,FALSE,1,,2/5/2018 4:09,TRUE,,9.60365E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",suelaughsalot,0,FALSE,FALSE,,
"Next week in news: everyone associated with the #Eagles now has the flu. 
#SuperBowl52 #SuperBowlLII #SuperBowlSunday #flu #fluseason #gross",FALSE,0,,2/5/2018 4:09,FALSE,,9.60365E+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kangaroorue,0,FALSE,FALSE,,
"RT @mhill0425: I want to find the people who’ve wronged me in life and just give them a hug right now. 

#flu #Flu2018 #fluseason",FALSE,0,,2/5/2018 4:08,FALSE,,9.60365E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GigglesAndKush,1,TRUE,FALSE,,
@lauren_ashley86 I thought the same thing. And the germs from all the <ed><U+00A0><U+00BD><ed><U+00B2><U+008B><ed><U+00A0><U+00BD><ed><U+00B2><U+008B><ed><U+00A0><U+00BD><ed><U+00B2><U+008B> - <ed><U+00A0><U+00BE><ed><U+00B4><U+0095><ed><U+00A0><U+00BE><e,FALSE,0,lauren_ashley86,2/5/2018 4:05,FALSE,9.60357E+17,9.60364E+17,16174596,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lorrellwalter,0,FALSE,FALSE,,
