text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @ICUnurseProbs: #Flu deaths are no joke people.,FALSE,0,,2/6/2018 4:03,FALSE,,9.61E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",katieicunurse,2,TRUE,FALSE,,
RT @CDCDirector: One of the biggest health threats we are facing right now is #flu. Flu is complex and difficult to predict.This season is…,FALSE,0,,2/6/2018 4:03,FALSE,,9.61E+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",m_omarfarooq,549,TRUE,FALSE,,
"RT @ToddWFAA8: DEVELOPING: tough day in Weatherford ISD, where dist. confirms 32 y.o. teacher has passed because of #flu complications. Hea…",FALSE,0,,2/6/2018 4:02,FALSE,,9.61E+17,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",shellyyk1977,20,TRUE,FALSE,,
"RT @CDCgov: Is it a cold or #flu? Both are respiratory illnesses, but are caused by different viruses that may require special diagnostic t…",FALSE,0,,2/6/2018 4:02,FALSE,,9.61E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Cornerstone_Ped,214,TRUE,FALSE,,
#flu killing many healthy children and young adults https://t.co/EeCBP6UEmM,FALSE,0,,2/6/2018 4:02,FALSE,,9.61E+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Drea922Ma,0,FALSE,FALSE,,
"RT @CDCgov: Is it a cold or #flu? Both are respiratory illnesses, but are caused by different viruses that may require special diagnostic t…",FALSE,0,,2/6/2018 4:01,FALSE,,9.61E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Orthofacts,214,TRUE,FALSE,,
"RT @CDCgov: Is it a cold or #flu? Both are respiratory illnesses, but are caused by different viruses that may require special diagnostic t…",FALSE,0,,2/6/2018 3:59,FALSE,,9.61E+17,,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",redhotirishgirl,214,TRUE,FALSE,,
RT @CDCFlu: Flu is widespread across the U.S. Here are 6 things you should know about this #flu season: https://t.co/zwuPb6hbiG https://t.c…,FALSE,0,,2/6/2018 3:58,FALSE,,9.61E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jamesaubrey,155,TRUE,FALSE,,
It’s #Flu season!!! Here’s how not to get the flu: [#hownottogettheflu] this season or a cold -… https://t.co/2S8J5lVCH0,FALSE,0,,2/6/2018 3:56,FALSE,,9.61E+17,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",BCBeautyProduct,0,FALSE,FALSE,,
RT @Montaqraph: #DrainTheSwamp #DrainTheDeepState #q #Qanon #Quarintine #flu https://t.co/8xBMx0dh2y,FALSE,0,,2/6/2018 3:56,FALSE,,9.61E+17,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",ladynra1,9,TRUE,FALSE,,
