"","lon","lat"
"265",-71.0588801,42.3600825
"266",-80.3553302,25.8195424
"267",-78.6568942,37.4315734
"268",-85.6023643,44.3148443
"269",-71.0588801,42.3600825
"270",-85.6023643,44.3148443
"271",-71.0588801,42.3600825
"272",-0.0235333,51.5054306
"273",-85.6023643,44.3148443
"274",-71.0588801,42.3600825
"275",-85.6023643,44.3148443
"276",-71.0588801,42.3600825
"277",3.9470396,7.3775355
"278",-85.6023643,44.3148443
"279",-71.0588801,42.3600825
"280",-85.6023643,44.3148443
"281",-71.0588801,42.3600825
"282",-95.3010624,32.3512601
"283",-85.6023643,44.3148443
"284",-71.0588801,42.3600825
"285",-85.6023643,44.3148443
"286",-71.0588801,42.3600825
"287",-66.590149,18.220833
"288",-97.3307658,32.7554883
"289",-3.435973,55.378051
"290",-85.6023643,44.3148443
"291",-71.0588801,42.3600825
"292",-85.6023643,44.3148443
"293",-71.0588801,42.3600825
"294",7.2619532,43.7101728
"295",-77.0368707,38.9071923
"296",-79.0558445,35.9131996
"297",-2.9980925,51.2457525
"298",-85.6023643,44.3148443
"299",-71.0588801,42.3600825
"300",-85.6023643,44.3148443
"301",-71.0588801,42.3600825
"302",-81.4735257,28.4720521
"303",-71.1097335,42.3736158
"304",-83.6513229,41.3747744
"305",-85.6023643,44.3148443
"306",-71.0588801,42.3600825
"307",-85.6023643,44.3148443
"308",-71.0588801,42.3600825
"309",-85.6023643,44.3148443
"310",-71.0588801,42.3600825
"311",-121.2880059,38.7521235
"312",-85.6023643,44.3148443
"313",-71.0588801,42.3600825
"314",-85.6023643,44.3148443
"315",-71.0588801,42.3600825
"316",-85.6023643,44.3148443
"317",-71.0588801,42.3600825
"318",-85.6023643,44.3148443
"319",-71.0588801,42.3600825
"320",-85.7584557,38.2526647
"321",-77.0368707,38.9071923
"322",-77.0368707,38.9071923
"323",-77.0368707,38.9071923
"324",-86.730953,36.214796
"325",12.5683372,55.6760968
"326",-77.0368707,38.9071923
"327",-87.6297982,41.8781136
"328",-122.1295269,47.0675877
"329",-82.5436722,27.763383
"330",-83.7430378,42.2808256
"331",-71.1286194,41.7695425
"332",47.481766,29.31166
"333",-157.8583333,21.3069444
"334",-111.5349059,33.2544202
"335",-77.0368707,38.9071923
"336",-78.4766781,38.0293059
"337",38.192966,24.0039395
"338",-95.712891,37.09024
"339",-95.712891,37.09024
"340",-95.712891,37.09024
"341",-95.712891,37.09024
"342",-95.712891,37.09024
"343",-95.712891,37.09024
"344",-95.5507771,30.7235263
"345",-97.5164276,35.4675602
"346",-95.0949303,29.5074538
"347",-95.5507771,30.7235263
"348",-97.5164276,35.4675602
"349",-95.5507771,30.7235263
"350",-97.5164276,35.4675602
"351",-118.2436849,34.0522342
"352",-95.5507771,30.7235263
"353",-97.5164276,35.4675602
"354",-95.5507771,30.7235263
"355",-97.5164276,35.4675602
"356",-95.5507771,30.7235263
"357",-97.5164276,35.4675602
"358",-95.5507771,30.7235263
"359",-97.5164276,35.4675602
"360",-95.5507771,30.7235263
"361",-97.5164276,35.4675602
"362",-95.5507771,30.7235263
"363",-97.5164276,35.4675602
"364",-118.1558735,34.0267769
"365",-80.8431267,35.2270869
"366",-74.0059728,40.7127753
"367",16.1713009,52.8943926
"368",-95.712891,37.09024
"369",-122.3320708,47.6062095
"370",-84.2242641,33.9731318
"371",27.5143603,-29.3632188
"372",-122.3320708,47.6062095
"373",-84.2242641,33.9731318
"374",27.5143603,-29.3632188
"375",-1.1743197,52.3555177
"376",-81.1637245,33.836081
"377",-122.6764815,45.5230622
"378",-95.712891,37.09024
"379",-122.6764815,45.5230622
"380",-95.712891,37.09024
"381",-122.6764815,45.5230622
"382",-95.712891,37.09024
"383",28.9783589,41.0082376
"384",77.6178797,11.463005
"385",-85.2904938,35.048941
"386",-76.4921829,38.9784453
"387",-76.4921829,38.9784453
"388",-76.4921829,38.9784453
"389",-73.9865533,40.7263542
"390",-97.6114237,38.8402805
"391",-85.2904938,35.048941
